Reporting Country,Infected,Recovered,Dead,Currently sick,End
Italy,3089,287,107,2706,"March 5, 2020,10.49 PM"
France,377,12,6,359,"March 5, 2020,10.49 PM"
Germany,444,16,0,428,"March 5, 2020,10.49 PM"
Spain,259,2,3,254,"March 5, 2020,10.49 PM"
United Kingdom,90,8,0,82,"March 5, 2020,10.49 PM"
Switerzaland,95,3,1,91,"March 5, 2020,10.49 PM"
Norway,72,0,0,72,"March 5, 2020,10.49 PM"
Netherlands,82,1,0,81,"March 5, 2020,10.49 PM"
Austria,41,2,0,39,"March 5, 2020,10.49 PM"
Sweden,60,1,0,59,"March 5, 2020,10.49 PM"
Iceland,34,1,0,33,"March 5, 2020,10.49 PM"
Israel,15,2,0,13,"March 5, 2020,10.49 PM"
Crotia,10,0,0,10,"March 5, 2020,10.49 PM"
Belgiam,50,1,0,49,"March 5, 2020,10.49 PM"
Denmark,15,0,0,15,"March 5, 2020,10.49 PM"
San Marino,21,0,1,20,"March 5, 2020,10.49 PM"
Finland,12,1,0,11,"March 5, 2020,10.49 PM"
Greece,9,0,0,9,"March 5, 2020,10.49 PM"
Czechia,8,0,0,8,"March 5, 2020,10.49 PM"
Romania,6,1,0,5,"March 5, 2020,10.49 PM"
Azerbaijan,6,0,0,6,"March 5, 2020,10.49 PM"
Georgia,4,2,0,2,"March 5, 2020,10.49 PM"
Russia,4,2,0,2,"March 5, 2020,10.49 PM"
Estonia,2,0,0,2,"March 5, 2020,10.49 PM"
Ireland,6,0,0,6,"March 5, 2020,10.49 PM"
Portugal,8,0,0,8,"March 5, 2020,10.49 PM"
Andorra,1,0,0,1,"March 5, 2020,10.49 PM"
Armenia,1,0,0,1,"March 5, 2020,10.49 PM"
Belarus,6,0,1,6,"March 5, 2020,10.49 PM"
Latvia,1,0,1,1,"March 5, 2020,10.49 PM"
Lithuania,1,0,1,1,"March 5, 2020,10.49 PM"
Luxembourge,1,0,1,1,"March 5, 2020,10.49 PM"
Monaco,1,0,1,1,"March 5, 2020,10.49 PM"
North Mecedonia,1,0,1,1,"March 5, 2020,10.49 PM"
Poland,1,0,1,1,"March 5, 2020,10.49 PM"
Ukrain,1,0,1,1,"March 5, 2020,10.49 PM"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
